Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A741715,*Pebbles,01/11/2017 06:17:00 PM,01/11/2017 06:17:00 PM,03/07/2016,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Calico
A658751,Benji,11/13/2016 01:38:00 PM,11/13/2016 01:38:00 PM,07/14/2011,Return to Owner,,Dog,Neutered Male,5 years,Border Terrier Mix,Tan
A721285,,02/24/2016 02:42:00 PM,02/24/2016 02:42:00 PM,02/24/2014,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon Mix,Black/Gray
A746650,Rose,04/07/2017 11:58:00 AM,04/07/2017 11:58:00 AM,04/06/2016,Return to Owner,,Dog,Intact Female,1 year,Labrador Retriever/Jack Russell Terrier,Yellow
A750122,Happy Camper,05/24/2017 06:36:00 PM,05/24/2017 06:36:00 PM,04/08/2017,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever Mix,Black
A756696,Shakti,09/01/2017 11:23:00 AM,09/01/2017 11:23:00 AM,08/24/2014,Return to Owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue/White
A684346,,07/22/2014 04:04:00 PM,07/22/2014 04:04:00 PM,07/07/2014,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A666430,Lucy,11/07/2013 11:47:00 AM,11/07/2013 11:47:00 AM,11/06/2012,Transfer,Partner,Dog,Spayed Female,1 year,Beagle Mix,White/Brown
A675708,*Johnny,06/03/2014 02:20:00 PM,06/03/2014 02:20:00 PM,03/31/2013,Adoption,,Dog,Neutered Male,1 year,Pit Bull,Blue/White
A680386,Monday,06/15/2014 03:50:00 PM,06/15/2014 03:50:00 PM,06/02/2005,Transfer,Partner,Dog,Neutered Male,9 years,Miniature Schnauzer Mix,White
A683115,,07/07/2014 02:04:00 PM,07/07/2014 02:04:00 PM,01/07/2014,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Brown
A707443,,07/13/2015 01:50:00 PM,07/13/2015 01:50:00 PM,06/21/2015,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Black Smoke
A664462,*Edgar,10/07/2013 01:06:00 PM,10/07/2013 01:06:00 PM,06/03/2013,Transfer,Partner,Dog,Intact Male,4 months,Leonberger Mix,Brown/White
A713785,,10/19/2015 02:55:00 PM,10/19/2015 02:55:00 PM,05/29/2015,Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Red
A741783,,01/12/2017 05:02:00 PM,01/12/2017 05:02:00 PM,11/18/2016,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Tan/White
A697000,Boone,02/16/2015 01:24:00 PM,02/16/2015 01:24:00 PM,02/16/2009,Return to Owner,,Dog,Neutered Male,6 years,English Springer Spaniel Mix,Liver/White
A697055,Megatron,02/17/2015 03:06:00 PM,02/17/2015 03:06:00 PM,02/17/2012,Adoption,,Dog,Spayed Female,3 years,Dachshund/Chihuahua Shorthair,Red
