Package,Minimum version
ansible,4.10.0 only
awscli,1.27.21 only
azure-cli,2.42.0 only
boto3,1.26.21 only
botocore,1.29.21 only
bs4,0.0.1 only
celery,5.2.7 only. Only use with python version 3.9 or later
certifi,2022.6.15 only
chardet,3.0.4 only
Click,8.0.4 only
cmdstanpy,latest version. Only use with python version 3.9 or later
colorama,0.4.4 only
configobj,5.0.7 only
convertdate,2.1.2 or later. Only use with python version 3.9 or later
cryptography,3.3.1 only
Cython,0.22 or later. Only use with python version 3.9 or later
dnspython,2.2.1 only
egnyte,0.5.3 only
enum34,1.1.10 only
eventlet,0.33.1 only
fastapi,0.79.0 only. Only use with python version 3.9 or later
gevent,21.12.0 only
gunicorn,20.1.0. Only only use with python version 3.9 or later
holidays,0.11.3.1 or later. Only use with python version 3.9 or later
idna,3.3 only
influxdb,5.3.1 only
ipython,7.16.3 only
itsdangerous,2.0.1 only
Jinja2,3.0.3 only
kombu,5.2.4 only. Only use with python version 3.9 or later
locust,2.8.6 only
LunarCalendar,0.0.9 or later. Only use with python version 3.9 or later
matplotlib,2.0.0 or later
mockito,1.3.3 only. Only use with python version 3.9 or later
numpy,1.19.5 only. Only use with python versions earlier than 3.9
numpy,1.22.4 only. Only use with python version 3.9 or later
openpyxl,3.0.10 only
pandas,1.1.5 only. Only use with python versions earlier than 3.9
pandas,1.4.3 only. Only use with python version 3.9 or later
paramiko,2.11.0 only
pexpect,4.8.0 only
prometheus-client,0.14.1 only. Only use with python version 3.9 or later
prometheus-fastapi-instrumentator,5.8.2 only. Only use with python version 3.9 or later
prompt-toolkit,3.0.30 only
prophet,1.1 or later. Only use with python version 3.9 or later
psutil,5.9.1 only
psycopg2,2.9.4 only
pycryptodome,3.15.0 only
pyparsing,3.0.9 only
python-dateutil,2.8.2 only
python-gflags,3.1.2 only
python-ldap,3.4.2 only
python-slugify,6.1.2 only
pytz,2022.2.1 only
redis,4.3.4 only. Only use with python version 3.9 or later
requests,2.27.1 only
ruamel.yaml,0.17.21 only
setuptools-git,1.2 or later. Only use with python version 3.9 or later
setuptools,42 or later
setuptools,42 or later. Only use with python version 3.9 or later
six,1.16.0 only
sktime[all_extras],0.13.0 only. Only use with python version 3.9 or later
SQLAlchemy,1.4.40 only
toml,0.10.2 only
tqdm,4.36.1 or later. Only use with python version 3.9 or later
types-protobuf,3.19.22 only. Only use with python version 3.9 or later
tzlocal,4.2 only. Only use with python version 3.9 or later
urllib3,1.26.13 only
uvicorn[standard],0.18.2 only. Only use with python version 3.9 or later
wheel,0.37.0 or later
