Package,Minimum version
aide,0.15.1-13.el7
alsa-lib.x86_64,1.1.8-1.el7
amcheck_next95.x86_64,1.5-1.rhel7
amcheck_next11,1.5-1.rhel7
at,3.1.13-24.el7
atk.x86_64,2.28.1-1.el7
atop,2.4.0-4.el7
azure-cli,2.0.81-1.el7
bind-utils,32:9.11.4-9.P2.el7
chromium,79.0.3945.130-1.el7
cifs-utils,6.2-10.el7
cryptsetup,2.0.3-5.el7
cups-libs.x86_64,1:1.6.3-40.el7
curl,7.29.0-54.el7_7.2
cyrus-sasl,2.1.26-23.el7
cyrus-sasl-devel,2.1.26-23.el7
cyrus-sasl-plain,2.1.26-23.el7
dkms,2.7.1-1.el7
dmidecode,1:3.2-3.el7
dos2unix,6.0.3-7.el7
ethtool,2:4.8-10.el7
fio,3.7-1.el7
ftp,0.17-67.el7
gcc,4.8.5-39.el7
GConf2.x86_64,3.2.6-8.el7
gdb,7.6.1-115.el7
glib2,2.56.1-5.el7
glibc-devel,2.17-292.el7
gnu-free-sans-fonts,20120503-8.el7
google-cloud-sdk,282.0.0-1
graphviz,2.30.1-21.el7
gtk3.x86_64,3.22.30-3.el7
hdparm,9.43-5.el7
http-parser,2.7.1-8.el7
httpd-tools,2.4.6-90.el7
ipa-gothic-fonts,003.03-5.el7
iperf3,3.1.7-2.el7
ipmitool,1.8.18-7.el7
krb5-workstation,1.15.1-37.el7_7.2
libcap,2.22-10.el7
libcgroup-tools,0.41-21.el7
libcurl-devel,7.29.0-54.el7_7.2
libffi-devel,3.0.13-18.el7
libgit2-devel,0.26.6-1.el7
libtool,2.4.2-22.el7_3
libXcomposite.x86_64,0.4.4-4.1.el7
libXcursor.x86_64,1.1.15-1.el7
libXdamage.x86_64,1.1.4-4.1.el7
libXext.x86_64,1.3.3-3.el7
libXi.x86_64,1.7.9-1.el7
libxml2-devel,2.9.1-6.el7_2.3
libXrandr.x86_64,1.5.1-2.el7
libXScrnSaver.x86_64,1.2.2-6.1.el7
libXtst.x86_64,1.2.3-1.el7
lsof,4.87-6.el7
lsscsi,0.27-6.el7
lynx,2.8.8-0.3.dev15.el7
mailx,12.5-19.el7
mcelog,3:144-10.94d853b2ea81.el7
memtest86+,5.01-2.el7
mtr,2:0.85-7.el7
mutt,5:1.5.21-28.el7_5
nc,2:6.40-19.el7
net-tools,2.0-0.25.20131004git.el7
nfs-utils,1:1.3.0-0.65.el7
NLOpt,2.4.2-2.el7
NLOpt-devel,2.4.2-2.el7
ntp,4.2.6p5-29.el7
open-vm-tools,10.3.0-2.el7_7.1
openldap,2.4.44-21.el7_6
openldap-clients,2.4.44-21.el7_6
openldap-devel,2.4.44-21.el7_6
openssh,7.4p1-21.el7
openssh-clients,7.4p1-21.el7
openssl-devel,1:1.0.2k-19.el7
pango.x86_64,1.42.4-4.el7_7
parted,3.1-31.el7
perf,3.10.0-1062.12.1.el7
pigz,2.3.4-1.el7
postfix,2:2.10.1-7.el7
postgresql95-contrib,9.5.21-1PGDG.rhel7
postgresql95-devel,9.5.21-1PGDG.rhel7
postgresql95-libs,9.5.21-1PGDG.rhel7
postgresql95-server,9.5.21-1PGDG.rhel7
postgresql11-contrib,11.11-1PGDG.rhel7
postgresql11-devel,11.11-1PGDG.rhel7
postgresql11-libs,11.11-1PGDG.rhel7
postgresql11-server,11.11-1PGDG.rhel7
psmisc,22.20-16.el7
python-devel,2.7.5-86.el7
python-pyasn1,0.1.6-2.el7
python2-cryptography,1.7.2-2.el7
python2-pip,8.1.2-12.el7
python3,3.6.8-10.el7. Note that you cannot use python3 version 3.7.0 or later.
python3-devel,3.6.8-10.el7. Note that you cannot use python3 version 3.7.0 or later.
R,3.6.0-1.el7
R-devel,3.6.0-1.el7
realmd,0.16.1-11.el7
rsyslog,8.24.0-41.el7_7.2
samba-client,4.9.1-10.el7_7
samba-common-tools,4.9.1-10.el7_7
screen,4.1.0-0.25.20120314git3c2946.el7
setroubleshoot,3.2.30-8.el7
sg3_utils,1.37-18.el7_7.2
smartmontools,1:7.0-1.el7_7.1
snappy-devel,1.1.0-3.el7
sssd,1.16.4-21.el7_7.1
sssd-client,1.16.4-21.el7_7.1
sssd-tools,1.16.4-21.el7_7.1
strace,4.12-9.el7
strongswan,5.7.2-1.el7
sysstat,10.1.5-18.el7
tcpdump,14:4.9.2-4.el7_7.1
telnet,1:0.17-64.el7
tinyproxy,1:8.5.13-6.el7
tmux,1.8-4.el7
traceroute,3:2.0.22-2.el7
unzip,6.0-20.el7
util-linux,2.23.2-61.el7_7.1
uuid,1.6.2-26.el7
vim,2:7.4.629-6.el7
vnc-server,1.8.0-17.el7
w3m,0.5.3-36.git20180125.el7
wget,1.14-18.el7_6.1
xorg-x11-fonts-100dpi,7.5-9.el7
xorg-x11-fonts-75dpi,7.5-9.el7
xorg-x11-fonts-cyrillic,7.5-9.el7
xorg-x11-fonts-misc,7.5-9.el7
xorg-x11-fonts-Type1,7.5-9.el7
xorg-x11-utils,7.7-20.el7
yum-plugin-versionlock,1.1.31-52.el7
zip,3.0-11.el7
zsh,5.0.2-33.el7
