Package,Minimum Version
aide,0.16-14.el8_5.1
alsa-lib,1.2.8-2.el8
amcheck_next11,1.5-1.rhel8
at,3.1.20-12.el8
atop,2.7.1-1.el8
bind-utils,9.11.36-8.el8
cmake,3.20.2-5.el8
compat-openssl10,1.0.2o-4.el8_6
cryptsetup,2.3.7-5.el8
curl,7.61.1-30.el8_8.2
cyrus-sasl,2.1.27-6.el8_5
cyrus-sasl-devel,2.1.27-6.el8_5
cyrus-sasl-plain,2.1.27-6.el8_5
dkms,3.0.11-1.el8
dmidecode,3.3-4.el8
ethtool,5.13-2.el8
fio,3.19-4.el8
gcc,8.5.0-18.el8
gcc-c++,8.5.0-18.el8
glibc-devel,2.28-225.el8
graphviz,2.40.1-44.el8
gtk3.x86_64,3.22.30-11.el8
http-parser,2.8.0-9.el8
httpd-tools,2.4.37-56.module+el8.8.0+18758+b3a9c8da.6
iperf3,3.5-6.el8
ipmitool,1.8.18-18.el8
iptables,1.8.4-24.el8
libcap,2.48-4.el8
libcgroup-tools,0.41-19.el8
libcurl-devel,7.61.1-30.el8_8.2
libdrm,2.4.114-1.el8
libffi-devel,3.1-24.el8
libgit2-devel,0.26.8-2.el8
libtool,2.4.6-25.el8
libxml2-devel,2.9.7-16.el8
lsof,4.93.2-1.el8
lsscsi,0.32-3.el8
lynx,2.8.9-4.el8
mesa-libgbm,22.3.0-2.el8
mutt,2.0.7-2.el8
net-tools,2.0-0.52.20160912git.el8
nmap-ncat,7.70-8.el8
openldap-clients,2.4.46-18.el8
openldap-devel,2.4.46-18.el8
openssh,8.0p1-17.el8_7
openssh-clients,8.0p1-17.el8_7
openssl-devel,1.1.1k-9.el8_7
parted,3.2-39.el8
pciutils,3.7.0-3.el8
pigz,2.4-4.el8
policycoreutils-python-utils,2.9-24.el8
postfix,3.5.8-4.el8
postgresql11-contrib,11.20-2PGDG.rhel8
postgresql11-devel,11.20-2PGDG.rhel8
postgresql11-libs,11.20-2PGDG.rhel8
postgresql11-server,11.20-2PGDG.rhel8
postgresql13-contrib,13.11-2PGDG.rhel8
postgresql13-devel,13.11-2PGDG.rhel8
postgresql13-libs,13.11-2PGDG.rhel8
postgresql13-server,13.11-2PGDG.rhel8
psmisc,23.1-5.el8
python3-dnf-plugin-versionlock,4.0.21-19.el8_8
python3-pyasn1,0.3.7-6.el8
python36-devel,3.6.8-38.module+el8.5.0+12207+5c5719bc
R,4.3.0-1.el8
R-devel,4.3.0-1.el8
rsync,3.1.3-19.el8_7.1
rsyslog,8.2102.0-5.el8
samba-client,4.17.5-2.el8
screen,4.6.2-12.el8
sg3_utils,1.44-6.el8
snappy-devel,1.1.8-3.el8
strace,5.18-2.el8
strongswan,5.9.10-1.el8
sysstat,11.7.3-9.el8
telnet,0.17-76.el8
tmux,2.7-1.el8
unzip,6.0-46.el8
util-linux,2.32.1-42.el8_8
uuid,1.6.2-43.el8
vim,8.0.1763-19.el8_6.4
wget,1.19.5-11.el8
zip,3.0-23.el8
zsh,5.5.1-10.el8
