Package,Minimum version,New Version,Versions Differ
aide,0.15.1-13.el7,0.15.1-13.el7_9.1,1
alsa-lib,1.1.8-1.el7,1.1.8-1.el7,0
amcheck_next11,1.5-1.rhel7,1.5-1.rhel7,0
at,3.1.13-24.el7,3.1.13-25.el7_9,1
atop,2.4.0-4.el7,2.7.1-1.el7,1
bind-utils,32:9.11.4-9.P2.el7,9.11.4-26.P2.el7_9.13,1
cmake,2.8.12.2-2.el7,2.8.12.2-2.el7,0
cryptsetup,2.0.3-5.el7,2.0.3-6.el7,1
curl,7.29.0-54.el7_7.2,7.29.0-59.el7_9.1,1
cyrus-sasl,2.1.26-23.el7,2.1.26-24.el7_9,1
cyrus-sasl-devel,2.1.26-23.el7,2.1.26-24.el7_9,1
cyrus-sasl-plain,2.1.26-23.el7,2.1.26-24.el7_9,1
dkms,2.7.1-1.el7,3.0.11-1.el7,1
dmidecode,1:3.2-3.el7,3.2-5.el7_9.1,1
ethtool,2:4.8-10.el7,4.8-10.el7,1
fio,3.7-1.el7,3.7-2.el7,1
gcc,4.8.5-39.el7,4.8.5-44.el7,1
gcc-c++,4.8.5-44.el7,4.8.5-44.el7,0
glibc-devel,2.17-292.el7,2.17-326.el7_9,1
google-cloud-sdk,282.0.0-1. Only for customers running on GCP,432.0.0-1 Only for customers running on GCP,1
graphviz,2.30.1-21.el7,2.30.1-22.el7,1
gtk3.x86_64,3.22.30-3.el7,gtk3-3.22.30-8.el7_9,1
http-parser,2.7.1-8.el7,2.7.1-9.el7,1
httpd-tools,2.4.6-90.el7,2.4.6-98.el7.centos.7,1
iperf3,3.1.7-2.el7,3.1.7-2.el7,0
ipmitool,1.8.18-7.el7,1.8.18-10.el7_9,1
libcap,2.22-10.el7,2.22-11.el7,1
libcgroup-tools,0.41-21.el7,0.41-21.el7,0
libcurl-devel,7.29.0-54.el7_7.2,7.29.0-59.el7_9.1,1
libdrm,2.4.97-2.el7,2.4.97-2.el7,0
libffi-devel,3.0.13-18.el7,3.0.13-19.el7,1
libgit2-devel,0.26.6-1.el7. Not for AL2. Only for RHEL7 RHEL8 and OEL,0.26.8-1.el7_9. Not for AL2. Only for RHEL7RHEL8 and OEL.,1
libtool,2.4.2-22.el7_3,2.4.2-22.el7_3,0
libxml2-devel,2.9.1-6.el7_2.3,2.9.1-6.el7_2.3,1
lsof,4.87-6.el7,4.87-6.el7,0
lsscsi,0.27-6.el7,0.27-6.el7,0
lynx,2.8.8-0.3.dev15.el7,2.8.8-0.3.dev15.el7,0
mesa-libgbm,18.3.4-10.el7,18.3.4-12.el7_9,1
nc,2:6.40-19.el7,6.40-19.el7,1
